name,price,original_price,rating,reviews_count,description,attributes,quantity,image_url,product_url,sku,brand,category,in_stock,unit,source
TRAPSTAR COBRA T BAG - BLACK / BLACK,£654.00,,,,- Irongate T Logo - 100% Nylon - 2 Functional compartments - Adjustable Trapstar nylon strap with buckle closure,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/5_53bdebd6-14f2-4cb8-a531-9e9c1931e783.png?v=1729705396,https://hypelockeruk.com/products/trapstar-cobra-t-bag-black-black,,Trapstar,Bags,In Stock,,hypelockeruk.com
TRAPSTAR COBRA T BAG - BLACK / REFLECTIVE,£654.00,,,,Colour: Black/Reflective - Irongate T Logo - 100% nylon - 2 Functional compartments - Adjustable Trapstar nylon strap with buckle closure - Buckle closure,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/2_6cc2bbba-90a3-4bd3-9977-63636c814eda.png?v=1729705396,https://hypelockeruk.com/products/trapstar-cobra-t-bag-black-reflective,,Trapstar,Bags,Out of Stock,,hypelockeruk.com
TRAPSTAR COBRA T BAG - BLACK / SILVER,£654.00,£1077.00,,,- Irongate T Logo - 100% Nylon - 2 Functional compartments - Adjustable Trapstar nylon strap with buckle closure,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/1_65556ba4-2f40-49ef-bf21-fe2878cf90ff.png?v=1729705396,https://hypelockeruk.com/products/trapstar-cobra-t-bag-black-silver,,Trapstar,Bags,In Stock,,hypelockeruk.com
TRAPSTAR IRONGATE T CROSS-BODY BAG - BLACK,£462.00,£577.00,,,Irongate T Logo - 100% cotton - 2 Functional compartments - Adjustable Trapstar nylon strap with buckle closure - Buckle closure.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/6_3238ed9e-50ef-47d6-a478-4abcb5b6a7b8.png?v=1729705396,https://hypelockeruk.com/products/trapstar-irongate-t-cross-body-bag-black,,Trapstar,Bags,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE T CROSS-BODY BAG - BLACK / REFLECTIVE,£654.00,,,,Irongate T Logo - 100% cotton - 2 Functional compartments - Adjustable Trapstar nylon strap with buckle closure - Buckle closure.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/3_7db28936-6225-4fc6-98d1-725bac7ef900.png?v=1729705395,https://hypelockeruk.com/products/trapstar-irongate-t-cross-body-bag-black-reflective,,Trapstar,Bags,In Stock,,hypelockeruk.com
TRAPSTAR IRONGATE T CROSS-BODY BAG - BLACK EDITION,£462.00,£577.00,,,Irongate T Logo - 100% cotton - 2 Functional compartments - Adjustable Trapstar nylon strap with buckle closure - Buckle closure.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/4_b36d3ebc-f840-457c-b1c7-8230f6239a1e.png?v=1729705396,https://hypelockeruk.com/products/trapstar-irongate-t-cross-body-bag-black-edition,,Trapstar,Bags,In Stock,,hypelockeruk.com
TRAPSTAR X CENTRAL CEE T BAG - BLACK / ROSE GOLD,£385.00,£500.00,,,Rose gold outline T and Cobra clip fastening Mesh overlay front Decoded woven label on side Adjustable branded webbing strap Zip closure under flap Internal zip pocket 100% Water-repellant nylon 100% Polyester lining Official Certilogo Authenticator Label,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitleddesign-2024-12-12T205026.982.png?v=1734036640,https://hypelockeruk.com/products/trapstar-x-central-cee-t-bag-black-rose-gold,,Trapstar,Bags,Out of Stock,,hypelockeruk.com
TRAPSTAR X CENTRAL CEE HOODIE - BLACK,£385.00,£462.00,,,Title graphic screen print on front CRG screen print on back Regular fit 100% Cotton Trapstar Clothing fits true to size. Size guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitleddesign-2024-12-14T004723.146.png?v=1734137464,https://hypelockeruk.com/products/trapstar-x-central-cee-hoodie-black,,Trapstar,Hoodies,In Stock,,hypelockeruk.com
TRAPSTAR X CENTRAL CEE HOODIE - GREY,£385.00,£462.00,,,Title graphic screen print on front CRG screen print on back Regular fit 100% Cotton Trapstar Clothing fits true to size. Size guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitleddesign-2024-12-14T005538.614.png?v=1734137772,https://hypelockeruk.com/products/trapstar-x-central-cee-hoodie-grey,,Trapstar,Hoodies,In Stock,,hypelockeruk.com
TRAPSTAR DECODED HOODED PUFFER JACKET 2.0 - DAZZLING BLUE,£1231.00,£1538.00,,,- Decoded Logo embroidery on back - Decoded Logo embroidery on Placket - Embossed Contrast Stitch Irongate T on hood - Branded Metal Zip Puller - Adjustable waist bungee cord - Inner zip pocket - Official Certilogo Authentification label Size Guide shown in final image. We recommend going one size up from your usual size.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/18_00d2012c-c077-4bc3-9216-6993d0ee8822.png?v=1729699804,https://hypelockeruk.com/products/trapstar-decoded-hooded-puffer-jacket-2-0-dazzling-blue,,Trapstar,Jackets,In Stock,,hypelockeruk.com
